"#","Institution Name","City","State","Latitude","Longitude"
"677","Woyun Civilian-run Botanical Garden (Shaanxi)","Yulin","Shaanxi","38.2944","109.7500"
"678","Yulin Psammophyte Botanical Garden (Shaanxi)","Yulin","Shaanxi","38.2944","109.7500"
"679","Shenzhou Magnolia Garden and Breeding Center","Zhan Jiang, Tianhe District, Guangzhou","Guangdong Province","20.333981","110.172116"
"680","Jinan Botanical Garden","Zhangqiu City","Shandong","36.61498","117.45854"
"681","South Subtropical Botanical Garden","Zhanjiang","Guangdong","21.2317","110.3810"
"682","West Guangdong Tropical Botanic Garden","Zhanjiang","Guangdong","21.1972","110.4166"
"683","Dinghushan National Nature Reserve","Zhaoqing","Guangdong","23.0722","112.4750"
"684","Botanical Garden at Zhengzhou Yellow River Scenic Area (Henan)","Zhengzhou","Henan","34.7611","113.6625"
"685","Henan Agricultural University","Zhengzhou","Henan","34.7611","113.6625"
"686","Shabotou Botanical Garden (Ningxia)","Zhongwei","Ningxia","37.5144","105.1745"
"687","Zhejiang Zhoushan Island Arboretum","Zhoushan","Zhejiang","30.0194","122.1041"
"688","Zhoushan Botanical Garden (Zhejiang)","Zhoushan","Zhejiang","30.0194","122.1041"
"689","Zhoushan Academy of Forestry","Zhoushan City","","30.0203589","122.09787"
"690","ICECOL","Barranquilla","","10.9765","-74.8100"
"691","Campo Biologico Experimental-Laboratorio 125","Bogota","","4.6473","-74.0962"
"692","Jardín Botánico de Bogotá José Celestino Mutis","Bogotá D.C.","","4.6098","-74.0820"
"693","Jardín Botánico de Bogotá José Celestino Mutis - Seed Bank","Bogotá D.C.","","4.6098","-74.0820"
"694","Jardin Botanico Eloy Valenzuela","Bucaramanga","","7.1051","-73.1169"
"695","Jardin Botanico del Quindio","Calarca","Quindio","4.5298","-75.6461"
"696","Jardin Botanico de Cali","Cali","","3.4233","-76.5245"
"697","Jardin Botanico del Pacifico","Cali","","3.4233","-76.5245"
"698","Jardin Botanico y Reserva Natural El Refugio Torremolinos","Cali","","3.4233","-76.5245"
"699","Centro de Estudios Medicos Interculturales","Cota","Cundinamarca","4.8086029","-74.100391"
"700","Jardin Botanico ""El Cubarro""","Cubarral","","3.7691","-73.8386"
"701","Jardin Botanico ""Alejandro von Humboldt""","Ibague","","4.4364","-75.1916"
"702","Jardin Botanico Universidad de Caldas","Manizales","","5.0621","-75.4956"
"703","Jardin Botanico Alejandro Humboldt de Marsella, Risaralda","Marsella","","6.2666","-73.8833"
"704","Jardin Botanico ""Joaquin Antonio Uribe"" De Medellin","Medellin","",NA,NA
"705","Jardin Botanico de Medellín  ""Joaquin Antonio Uribe""","Medellin","Antioquia","6.2512","-75.5759"
"706","Jardin Botanico de Plantas Medicinales","Mocoa","Putumayo","1.1743","-76.6415"
"707","Jardin Botanico de Cordoba","Monteria","","8.7597","-75.8873"
"708","Jardin Botanico de Palmira","Palmira","","3.8414","-73.6237"
"709","Jardin Botanico de Santa Lucia","Pasto","","1.2119","-77.2704"
"710","Jardin Botanico Universidad Tecnologica de Pereira","Pereira","Risaralda","4.790444","-75.689083"
"711","Jardín Botánico de Popayán","Popayán","Cauca","2.391306","76.656917"
"712","Jardin Botanico del Vichada","Puerto Carreno","","6.1442","-67.4716"
"713","Jardin Botanico ""Leandro Agreda""","Putumayo","","0.4230","-75.5220"
"714","Jardín Botanico del Choco-jotaudo","Quibdó","Chocó","5.6956543","-76.6540477"
"715","Jardin Botanico de San Andres","San Andres","","9.5284","-74.8847"
"716","Fundación Jardín Etnobotánico Villa Ludovica","Santa Marta","Magdalena","11.2753","-74.1906"
"717","Jardín Botánico Quinta de San Pedro Alejandrino","Santa Marta","","11.228161","-74.177359"
"718","Jardin Botanico ""Juan Maria Cespedes""","Tulua","","4.0776","-76.2012"
"719","Jardín Botánico de Cartagena","Turbaco","Bolivar","10.354644","-75.429485"
"720","Jardin Botanico de Villavicencio","Villavicencio","","4.1573","-73.6374"
"721","Centre d'Etude sur les Resources Vegetables","","Brazzaville","-4.2368","15.2160"
"722","Jardin Ethnobotanique Kivu","Lwiro","South Kivu",NA,NA
"723","Jardín Etnobotánico Dominga","","San Luis","10.4735","-84.2589"
"724","Área de Conservación Guanacaste, National Parks Foundation","Barrio Los Ángeles","Liberia","10.6296254","-85.4566821"
"725","Green Mountain Cloud Forest Gardens","Cartago","","9.7605","-83.7845"
"726","Jardín Botánico Lankester","Cartago","Cartago","9.8396","-83.8885"
"727","Instituto Nacional de Biodiversidad","Heredia","","10.3772","-83.9509"
"728","Arboretum del Bosque Seco Tropical","Liberia","",NA,NA
"729","Flores y Follajes del Caribe S.A.","Limón","","10.1940205","-83.6761665"
"730","Osa Conservation","Puerto Jiménez","Golfito","8.4040194","-83.336552"
"731","Earth University","San Jose","","9.9402","-84.1001"
"732","Jardín Botánico Nacional Simón Bolívar","San José","","9.9386739","-84.074436"
"733","Jardín Botánico Nacional Simón Bolívar - seed bank","San José","","9.9386739","-84.074436"
"734","Arboretum Leslie R.Holdridge","San Pedro","","9.9303","-84.0522"
"735","The Robert & Catherine Wilson Botanical Garden","San Vito de Coto Brus","Puntarenas","8.785278","-82.958889"
"736","El Arca Verde de las Plantas S.A.","Santa Barbara de Heredia","","10.0382275","-84.168793"
"737","Hotel Bougainvillea's Botanical Garden","Santo Domingo de Heredia","","9.9804893","-84.0810387"
"738","Else Kientzler Botanical Garden","Sarchí Norte","","10.0912","-84.3504"
"739","CATIE - Centro Agromico","Turrialba","","9.9011","-83.6845"
"740","Garden of Adiopodoume","Abidjan","","5.3320","-4.0305"
"741","Botanical Garden ""Lokrum""","Dubrovnik","Croatia","42.6418","18.1064"
"742","School Botanic Garden 'Ostrog'","Kastel Luksic","Croatia","43.5524","16.3648"
"743","Velebit Botanic Garden","Krasno","Croatia","44.8228","15.0588"
"744","Biokovo Botanical Garden 'Kotisina'","Makarska","Croatia","43.3251","17.0343"
"745","Botanical Garden","Split","Croatia","43.5159","16.4466"
"746","Trsteno Arboretum","Trsteno","Croatia","42.6418","18.1064"
"747","Arboretum Opeka","Vinica","Croatia","46.3099","16.3339"
"748","Arboretum Lisicine","Vocin","Croatia","45.6204","17.5455"
"749","Botanical Garden of Medicinal Plants 'Fran Kusan'","Zagreb","Croatia","45.8150","15.9785"
"750","Botanical Garden of the Faculty of Science Zagreb","Zagreb","Hrvatska","45.8150","15.9785"
"751","Jardín Botánico de Villa Clara","54830 Santa Clara","Villa Clara","22.4136","-79.9656"
"752","Jardin Botanico ""Cupaynicu""","Bayamo","","20.3833","-76.6500"
"753","Jardin Botanico de Cienfuegos","Cienfuegos","","23.1367","-82.3514"
"754","Estacion Experimental de Plantas Medicinales ""Dr. Juan T. Roig""","Havana","","23.1333","-82.3666"
"755","Instituto de Investigaciones Fundamentales en Agricultura Tropical ""Alejandro de Humboldt"" (INIFAT)","Havana","","23.1333","-82.3666"
"756","Jardin Botanico Nacional de Cuba","Havana","","23.1333","-82.3666"
"757","Jardin Botanico de Holguin","Holguin","","20.8833","-76.2500"
"758","Jardin Botanico de Las Tunas","Las Tunas","","20.9657","-76.9502"
"759","Jardin Botanico de Matanzas","Matanzas","","23.0500","-81.5833"
"760","Soroa Orchid Garden","Pinar Del Rio","","22.5833","-83.6666"
"761","Jardin Botanico Sancti Spiritus","Sancti Spiritus","","22.0000","-79.2500"
"762","Jardin de Helechos","Santiago De Cuba","","20.0166","-75.8166"
"763","Department of Forests","","","35.1333956","33.3069293"
"764","Nature Conservation Unit- Seed Bank","Nicosia","","34.695772","33.016101"
"765","Agricultural Research Institute- Seed Bank","Platy","Aglantzia","35.140424","33.383217"
"766","Botanicka Zahrada Stredni zemedelske techn. skoly","Benešov","","49.4141","14.6577"
"767","Bila Lhota Arboretum","Bila Lhota","","49.7095","16.9749"
"768","Arboretum - Katedra Lesnicke Botaniky","Brno","","49.1910","16.6114"
"769","Botanical Gardens and Arboretum","Brno","","49.2121","16.6208"
"770","Brno University of Vetinary and Pharmaceutical Sciences Botanic Garden","Brno","","49.1910","16.6114"
"771","Masaryk University Faculty of Medicine Medicinal Herbs Centre","Brno","Czech republic","49.1910","16.6114"
"772","Masaryk University Faculty of Science Botanical Garden","Brno","Czech Republic","49.2041","16.5972"
"773","Medicinal Herbs Centre","Brno","Czech Republic",NA,NA
"774","Stredni Zemedelska Technicka Skola","Decin-libverda","","50.7817","14.2145"
"775","Charles University Pharmacy Faculty Botanic Garden","Hradec Kralove","","50.2094","15.8326"
"776","Arboretum Stredni lesnicke technicke skoly","Hranice","","49.5650","17.7422"
"777","Arboretum Kostelec, Czech Agricultural University of Prague","Kostelec","","49.0266","17.1530"
"778","Botanical Garden Liberec","Liberec","","50.7670","15.0561"
"779","Centre of the Region Haná for Biotechnological and Agricultural Research","Olomouc","","49.594840","17.259649"
"780","Flora Olomouc","Olomouc","","49.5955","17.2518"
"781","Palacký University Botanic Garden","Olomouc","Czech Republic","49.586191","17.249127"
"782","Palacký University Botanic Garden SEED BANK","Olomouc","Czech Republic","49.586191","17.249127"
"783","Vulhm - Arboretum Sofronka","Plzen","","49.7474","13.3776"
"784","Zoological and Botanical Garden of the Plzen Town (Zoologicka a Botanicka zahrada mesta Plzne)","Plzen","","49.7333","13.3833"
"785","Charles University Botanic Garden  (Botanicka zahrada University Karlovy)","Prague","","50.0878","14.4204"
"786","Prague Botanic Garden / Botanicka Zahrada Praha","Prague","Troja","50.1209","14.4208"
"787","Prague Zoo","Prague","","50.1209","14.4208"
"788","Institute of Tropical and Subtropical Agriculture, Agricultural University Prague","Prague-suchdol","","50.1331","14.3768"
"789","Dendrological garden of the Silva Tarouca Research Institute for Landscape and Ornamental Gardening","Pruhonice","","50.028","14.5509"
"790","Pruhonice Botanic Garden","Pruhonice","","49.9942349","14.5635478"
"791","Pruhonice Park","Pruhonice","","50.0009","14.5509"
"792","Arboretum Strední lesnické školy","Sluknov","","51.0033","14.4530"
"793","Arboretum Novy Dvur","Steborice","","49.9377","17.8089"
"794","Ing. B. Simerda","Sumperk","","49.9654","16.9700"
"795","The Botanical Garden of Teplice","Teplice","","50.6385","13.8424"
"796","Hortus Botanicus Trebon","Trebon","","49.0055806","14.7732347"
"797","Arboretum Zampach","Zampach","Czech Republic","50.0390","16.4319"
"798","Jardin Zoologique et Botanique d‘Eala","Eala Mbandaka","Equateur","0.0487","18.3109"
"799","Jardin Botanique de Kisantu","Inkisi-Kisantu","Bas-Congo Province","-5.1352","15.0723"
"800","Jardin Botanique de Kinshasa","Kinshasa","","-4.3258","15.3218"
"801","The American School of Kinshasa","Kinshasa","","-4.4217505","15.2586913"
"802","Botanisk Have","Aarhus","","56.1581","10.2120"
"803","The Forest Botanical Garden","Aarhus","","56.1581","10.2120"
"804","University of Aarhus Botanical Institute","Aarhus","","56.1581","10.2120"
"805","Forstbotanisk Have (Forest Botanic Garden)","Charlottenlund","","55.7486","12.5873"
"806","Botanical Garden, Natural History Museum of Denmark","Copenhagen K","","55.6833","12.5666"
"807","Horticultural Gardens (Faculty of Life Sciences), University of Copenhagen","Frederiksberg C","","55.6808","12.5428"
"808","The Greenland Arboretum","Greenland","","61.16026","-45.42689"
"809","Royal Veterinary and Agricultural University Arboretum","Hørsholm","","55.8666","12.5000"
"810","Guldborgsund Zoo & Botanical Garden","Nykoebing","","56.7916","8.8679"
"811","Arboretum Paludosum","Silkeborg","","56.1831","9.5517"
"812","Carib Territory Botanic Garden","","Carib Territory","15.4149","-61.3709"
"813","Roseau Botanic Gardens","Roseau","","15.2976","-61.3900"
"814","Fundación Progressio","Santo Domingo","","18.4842028","-69.945814"
"815","Jardin Botanico Nacional ""Dr. Rafael M. Moscoso""","Santo Domingo","","18.4790","-69.8900"
"816","Jardin Botanico Atocha-La Liria","Atocha-Ficoa","Tungurahua","-1.22829","-78.6227"
"817","Reserva Etnobotánica Cumandá","Baeza","Napo","-0.2294","-78.5242"
"818","Jardín Botánico El Padmi","Cantón Yantzaza","Provincia de Zamora Chinchipe","-3.72708","-78.6083"
"819","Jardín Botánico Piatua","Carlos Julio Arosemena Tola","Napo","-1.24306","-77.8897"
"820","Jardín Etnobotánico UNORCAC","Cotacachi","Imbabura","0.299913","-78.2764"
"821","Jardín Botánico Tropical Mutile","Esmeraldas","Esmeraldas","0.890724","-79.6211"
"822","Jardin Tropical de Esmeraldas","Esmeraldas","","0.9374","-79.6670"
"823","Jardin Botanico de Guayaquil","Guayaquil","Guayas","-2.07993","-79.8974"
"824","FInca Pastaza","La Palmera","Tungurahua",NA,NA
"825","Jardin Botanico ""Reinaldo Espinosa""","Loja","Loja","-4.0345","-79.7874"
"826","Jardín Botánico Huertos La Macarena","Matriz","Azuay","-2.76438","-78.717"
"827","Jardín Botánico de la Universidad Técnica de Manabí","Portoviejo","Manabí","-1.0380196","-80.4637058"
"828","Jardin Botanico Las Orquideas","Puyo","Pastaza","-1.494100","-78.0000"
"829","Parque Pedagogico Etnobotanico OMAERE","Puyo","Pastaza","-1.4864","-78.0082"
"830","Jardin Botanico de Quito","Quito","Pichincha","-0.2294","-78.5242"
"831","Reserva Rio Guaycuyacu","Quito","","-0.1848","-78.7296"
"832","Jardín Botánico Hacienda Verde","Quito, Puéllaro","Pichincha","0.0000","-78.23"
"833","Parque Histórico Guayaquil","Samborondón","Guayas","-2.14442","-79.8695"
"834","Jardín Botánico Milpe","San Miguel de los Bancos","Pichincha","0.028727","-78.8631"
"835","Jardín Botánico Jatun Sisa","Santa Clara","Pastaza","-1.23262","-77.983"
"836","Jardín Botánico Padre Julio Marrero","Santo Domingo","Santo Domingo de los Tsáchilas","-0.22426","-79.1858"
"837","Jardín Botánico Ishpingo","Tena","Napo","-1.066","-77.6283"
"838","Jardín Botánico Yachay","Urcuqui","Imbabura","0.421146","-78.186503"
"839","Botanic Garden Botany Department","Alexandria","","31.2135","29.9443"
"840","Sabahia Horticultural Research Station","Alexandria","","31.2135","29.9443"
"841","Aswan Botanic Garden","Aswan","","24.0818","32.9108"
"842","El Saff Botanic Garden","Cairo","","30.0571","31.2272"
"843","Mazhar Botanical Garden","Cairo","","30.042689","31.245618"
"844","Orman Botanic Garden","Cairo","","30.0571","31.2272"
"845","Zohria Trial Gardens","Cairo","","30.0571","31.2272"
"846","Botanica Palm Hills","Giza Governorate","","29.9990874","31.0240178"
"847","Qubba Botanic Garden","Qubba","","30.0872","31.2941"
"848","Asociación Jardin Botanico La Laguna","San Salvador","","13.7034","-89.2073"
"849","Jarvselja Arboretum","Meeksi","","58.2157","27.4375"
"850","Tallinn Botanic Garden","Tallinn","","59.4388","24.7544"
"851","Botanical Garden of Tartu University","Tartu","","58.3851","26.7228"
"852","Botanic Gardens KCTE","Addis Ababa","","9.0115","38.7593"
"853","Forestry Research Centre Arboretum","Addis Ababa","Addis Ababa Administration","9.021200","38.824099"
"854","Gullele Botanic Garden","Addis Ababa","","9.07271","38.71925"
"855","Phytochemical Project Botanical Garden","Addis Ababa","","9.0115","38.7593"
"856","Alemaya Botanic Garden","Alemaya","Harerge Region","9.6530","40.3459"
"857","Bahir Dar University Botanic Garden","Bahir Dar","","11.574076","37.397948"
"858","Debre Birhan University Medicinal Plant Garden","Debre Birhan","","9.656598","39.521388"
"859","Jimma Botanic Garden","Jimma","","7.683645","36.823382"
"860","Shashemene Botanic Garden","Shashemene","","7.193592","38.592610"
"861","Wondo Genet College Arboretum","Shashemene / Wondo Genet","","7.084209","38.617973"
"862","Savurua Botanical Gardens","Pacific Harbour","Serua","-18.1955","178.0713"
"863","Flora Tropica Gardens","Savusavu","Fiji Islands","-16.77","179.34"
"864","Suva Botanical Gardens","Suva","","-18.0876","178.3841"
"865","The Botanical Gardens of the Universtiy of the South Pacific","Suva","","-18.0876","178.3841"
"866","Arboretum Mustila","Elimäki","","60.7333","26.4833"
"867","Finnish Museum of Natural History / Helsinki University Botanic Garden","Helsinki","","60.1833","24.9500"
"868","Finnish Museum of Natural History / Helsinki University Botanic Garden SEED BANK","Helsinki","","60.1833","24.9500"
"869","Botanic Garden ""Botania""","Joensuu","","62.6000","29.7166"
"870","University of Jyväskylä Botanic Garden","Jyväskylä","","62.2403","25.7426"
"871","Botanical Gardens and Museum of Oulu University","Oulu","","65.0638","25.4638"
"872","International Forest Line Arboretum","Turku","","60.4514","22.2687"
"873","University of Turku - Botanic Garden","Turku","","60.4514","22.2687"
"874","La Bambouseraie ( Maurice Negre Parc Exotique de Prafrance )","Anduze","","44.0550","3.9851"
"875","Jardin Botanique de l'Université Angers","Angers","","47.481169","-0.559128"
"876","Institut National de Recherche pour l'Agriculture, l'Alimentation et l'Environnement","Antibes","","43.5654","7.1234"
"877","Arboretum des Grands-Murcins","Arcon","","46.0260","3.8931"
"878","Les Jardins de Valloires","ARGOULES","","50.3418","1.8352"
"879","Floralpina","Arras","","50.2928","2.7824"
"880","Conservatoire Botanique Pyreneen","Bagneres De Bigorr","","43.0677","0.1504"
"881","Conservatoire botanique national de Bailleul","Bailleul","","50.7533","2.7084"
"882","Jardin Botanique du Tourmalet","Bareges","","43.1828","-0.0275"
"883","Jardin Botanique de la Ville et de l'Universite de BESANCON","Besancon","","47.2412","6.0255"
"884","Jardin Botanique de Bordeaux","Bordeaux","","44.846483","-0.563403"
"885","Conservatoire National du Pelargonium","Bourges","","47.0828","2.3965"
"886","Conservatoire Botanique National du Brest","Brest","","48.4081","-4.4995"
"887","Jardin Botanique de la Ville de Caen","Caen","","49.1846","-0.3719"
"888","Arboretum du Chêne-Vert","Chabanais","Poitou-Charentes region","45.878228","0.736519"
"889","Jardin Botanique Chalon-sur-Saone ( Jardin Geobotanique )","Chalon-sur-saone","","46.7837","4.8498"
"890","Arboretum de la Vallee-aux-Loups","Chatenay-malabry","","48.7696","2.2604"
"891","Conservatoire Botanique National du Massif-Central","Chavaniac-Lafayette","","45.2114","3.5517"
"892","Jardin Botanique  Camifolia","Chemillé-Melay","","47.90","0.55"
"893","Jardin Botanique de la Ville de Clermont-Ferrand","Clermomt-ferrand","","45.7963","3.1078"
"894","Jardin Botanique des Olfacties","Coex","","46.6969","-1.7582"
"895","National Botanical Conservatory of Corsica","Corte","Corsica","42.586990","9.462069"
"896","National Botanical Conservatory of Corsica SEED BANK","Corte","Corsica",NA,NA
"897","Jardins de l' Abbaye de Daoulas","Daoulas","","48.36175","-4.26506"
"898","Jardin Botanique de l'Arquebuse","Dijon","","47.3320","5.0322"
"899","Conservatoire Botanique National Alpin de Gap-Charance","Gap-charance","","44.5644","6.0671"
"900","Arboretum du Poerop","Huelgoat","","48.3636","-3.7467"
"901","Conservatoire Botanique National de Porquerolles","Hyeres","","43.0013","6.2216"
"902","Roseraie du Val-de-Marne","L'Hay-Les-Roses","","48.7762605","2.3324063"
"903","Jardin Botanique Yves Rocher","La Gacilly","Morbihan","47.7656","-2.1310"
"904","Jardin Botanique de Vauville","La Hague","","49.6343178","-1.8475185"
"905","Jardin d'Oiseaux Tropicaux","La Londe-les-Maures","","43.1642","6.2423"
"906","Jardin Conservatoire des Plantes Tinctoriales","Lauris","Provence-Alpes-Côte d'Azur","43.745533","5.312536"
"907","Station Alpine du Lautaret","Lautaret","GRENOBLE Cedex 09","45.0333","6.4000"
"908","Les Jardins Suspendus","Le Havre","","49.50","0.09"
"909","Jardin Botanique de la Faculte des Sciences Pharmaceutiques, Universté de Lille 2","Lille","","50.6371","3.0630"
"910","Jardin des Plantes","Lille","","50.6198","3.0540"
"911","Jardin Botanique Alpin "" Daniella ""","Limoges","","45.8213","1.2510"
"912","Jardin Botanique de la Ville de Limoges","Limoges","","45.8213","1.2510"
"913","Les Jardins Traditionnels du Cap Corse","Luri","","42.8842","9.4014"
"914","Jardin Botanique Faculte de Medecine et Pharmacie","Lyon","","45.7672","4.8343"
"915","Jardin Botanique de la Ville de Lyon","Lyon Cedex 01","","45.7666","4.8500"
"916","Arboretum de Pezanin","Macon","","46.3146","4.8696"
"917","Jardin Botanique de l'Ecole Veterinaire d'Alfort","Maisons-alfort","","48.8013","2.4312"
"918","Jardins de Salagon","Mane","","43.9438","5.7885"
"919","Jardin Botanique de Marnay sur Seine","Marnay-sur-Seine","","48.513221","3.555726"
"920","Jardins Botanique E.-M.-Heckel","Marseille","","43.4802","5.4178"
"921","Jardin Botanique Montagnard","Mazet-saint-voy","","45.0428","4.2402"
"922","Sentier de Decouverte","Melle","","46.2207","-0.1455"
"923","Jardin Botanique Exotique "" Val Rahmeh ""","Menton-Garavan","France","43.7848","7.5209"
"924","Le Jardin desCausses","Millau","","44.0995","3.0812"
"925","Conservatoire National des Plantes medicinales, aromatiques et industrielles","Milly-la-foret","","48.4188","2.4770"
"926","Arboretum "" Les Sentiers des Arbres ""","Monthodon","","47.5961","0.8886"
"927","La petite Loiterie","Monthodon","","47.62511","0.8083"
"928","Jardin Botanique de la Ville de Metz","Montigny-les-metz","","49.0967","6.1547"
"929","Jardins des Plantes de l‘Université","Montpellier","","43.6166","3.8833"
"930","Parc Zoologique et Botanique de la Ville de Mulhouse","Mulhouse","","47.7494","7.3397"
"931","Arboretum d'Amance","Nancy","","48.6880","6.1734"
"932","Jardin des Plantes","Nantes","Cedex","47.3825","1.6275"
"933","Jardin botanique de la Presle","Nanteuil La Foret","","49.15247","3.92534"
"934","Jardin Botanique de la Ville de Nice","Nice","","43.7030","7.2137"
"935","Arboretum National des Barres ( et Fruticetum Vilmorinianum )","Nogent-sur-Vernisson","Loiret","47.8458","2.7416"
"936","Conservatoire Genetique des Arbres Forestiers USC ONF-INRA","Orleans","","47.82948","1.91578"
"937","Universite Paris-Sud - Parc Botanique de Launay","Orsay Cedex","","48.3606","-0.2720"
"938","Bibliotheque Centrale","Paris","","48.8453","2.3512"
"939","Conservatoire Botanique National du Bassin parisien","Paris","","48.8453","2.3512"
"940","Jardin Botanique de la Faculte de Pharmacie","Paris","","48.8495","2.3524"
"941","Jardin botanique de Paris","Paris","","48.8551","2.2577"
"942","Jardin botanique de Paris - Seed Bank","Paris","","48.8551","2.2577"
"943","Jardin des Plantes de Paris et Arboretum de Chevreloup","Paris","","48.8453","2.3512"
"944","National Museum ""d'Histoire Naturelle""- Seed Bank","Paris","","48.844335","2.356232"
"945","Natures et Paysages Le Jardin Carnivore","Peyrusse-Massas","","43.74048","0.56372"
"946","Jardin Botanique Universitaire De Poitiers","Poitiers","","46.55755","0.4091"
"947","Jardin de la Collection Annabelle","Rainans","","47.155883","5.477905"
"948","Jardin Botanique de l'Universite de Rennes","Rennes","","48.1117","-1.6802"
"949","Jardin Botanique de la Ville de RENNES ( Jardin Botanique ""Le Thabor"" )","Rennes","","48.1120","-1.6884"
"950","Conservatoire du Begonia","Rochefort","","45.9516","-0.9744"
"951","L'Arboretum de Chevreloup","Roquencourt","F-78150 LE CHESNAY","48.830278","2.112222"
"952","Jardin Botanique de la Ville de ROUEN","Rouen","","49.4335","1.0703"
"953","Arboretum Marcel Kroenlein","Roure","","44.0951","7.1180"
"954","Château Pérouse","Saint-Gilles","","43.7136307","4.4177513"
"955","Jardin Botanique des Pyrenees-Occidentales","Saint-jammes","","43.3579","-0.2510"
"956","Jardin Botanique Paul Jovet","Saint-Jean De Luz Cedex","","43.40327","-1.65009"
"957","Espace Pierres Folles","Saint-Jean-des-Vignes","","45.8738","4.6848"
"958","Jardin Botanique Alpin de la Jaÿsinia","Samoëns","","46.0759","6.7553"
"959","Jardin Botanique du Col de Saverne","Saverne","","48.7417","7.3620"
"960","Château de La Grange","Savigny Le Temple","","48.60008","2.56192"
"961","Jardin Botanique Alpin "" Chanousia ""","Seez","","45.6501","6.8544"
"962","Harmas de Fabre","Sérignan du Comtat","","44.18807","4.84032"
"963","Conservatoire Botanique Pierre Fabre","SOUAL","","43.55507","2.11613"
"964","Jardin Botanique ""Les Cedres""","St Jean Cap Ferrat","Alpes Maritimes","43.6962","7.3287"
"965","Laboratoire de Botanique & Biologie Vegetale","ST MARTIN D'HERES","","45.1667","5.7678"
"966","Jardin Botanique de l'Université de Strasbourg","Strasbourg","","48.5829","7.7437"
"967","Jardin Botanique de Talence","Talence","","44.8127","-0.5907"
"968","Jardin Botanique de l'Institut National","Thiverval-grignon","","48.8418","1.9321"
"969","Jardin Botanique et Arboretum Henri Gaussen","Toulouse","","43.6037","1.4429"
"970","Serres Pédagogiques","TOURCOING","","50.72476","3.16662"
"971","Jardin Botanique de la Ville et de l'Universite de TOURS","Tours","France","47.3902","0.6888"
"972","Jardins botaniques du Grand Nancy et de l'Université de Lorraine","Villers-lès-Nancy","Nancy","48.6603","6.1275"
"973","Jardin d‘Altitude du Haut-Chitelet.","Xonrupt-Longemer","Nancy","48.6603","6.1275"
"974","Institut de Botanique","Cayenne","","4.9346","-52.3303"
"975","Jardin Botanique Municipal","Cayenne","","4.9346","-52.3303"
"976","Arboretum de Sibangu","Libreville","","0.3857","9.4496"
"977","The Botanic Garden","Bakau","","13.4784","-16.6755"
"978","Batumi Botanical Garden","Batumi","Georgia","41.6517","41.6561"
"979","Garden for Medicinal Plants","Kobuleti","","41.8176","41.7866"
"980","Kutaisi Botanical Garden","Kutaisi","","42.27944","42.71031"
"981","Sukhumi Botanical Garden","Sukhumi","","43.0073","40.9891"
"982","National Botanical Garden of Georgia","Tbilisi","Georgia","41.7099","44.7929"
"983","Bakuriani Alpine Botanical Garden","Village Bakuriani","","41.759508","43.521094"
"984","Schlosspark Dennenlohe -  Rhododendron Parc and Landscape Garden","","Bavaria","49.095570","10.609621"
"985","Botanisches Institut der Universität zu Köln","50674 Köln","","50.9252","6.9470"
"986","Botanischer Garten der Technischen Hochschule","Aachen","","51.5216","14.3470"
"987","Freundeskreis Botanischer Garten Aaxhen e.V.","Aachen","","50.7765","6.0836"
"988","Botanischer Garten der Stadt","Altenburg","","50.9921","12.4443"
"989","Botanischer Lehr - und Schaugarten","Augsburg","","48.3441","10.9195"
"990","Forstaboretum der Niedersaechsischen Landesforstverwaltung","Bad Grund","","51.8061","10.2302"
"991","Botanical Garden in Bad Langensalza","Bad Langensalza","","51.1051","10.5778"
"992","Pflanzengarten","Bad-schandau","","50.9019","14.1863"
"993","Botanischer Garten Baden-Baden","Baden-baden","","48.7662","8.2381"
"994","Staatliche Baderverwaltung","Badenweiler","","47.7942","7.6836"
"995","Oekologisch-Botanischer Garten Universitaet Bayreuth","Bayreuth","","51.5216","14.3470"
"996","Kurpark Bad Bellingen","Bellingen","","50.5930","7.9040"
"997","Botanischer Garten und Botanisches Museum Berlin","Berlin","Berlin","52.4500","13.3000"
"998","Botanischer Garten und Botanisches Museum Berlin - Seed Bank","Berlin","Berlin","52.4500","13.3000"
"999","Institute fur Biologie der Technischen Universitat Berlin","Berlin","","52.5182","13.3167"
"1000","Späth-Arboretum der Humboldt-Universität zu Berlin","Berlin","","52.5234","13.4114"
"1001","Botanischer Garten der Stadt Bielefeld","Bielefeld","","52.0072","8.5216"
"1002","Botanischer Garten der Ruhr-Universität Bochum","Bochum","","51.4451","7.2580"
"1003","Botanische Gärten der Universität Bonn","Bonn","","50.7333","7.1000"
"1004","Arzneipflanzengarten des Institutes fuer Pharmazeutische Biologie der TU Braunschweig","Braunschweig","","52.2641","10.5263"
"1005","Botanischer Garten der Technischen Universität","Braunschweig","","52.2805","10.5356"
"1006","Botanischer Garten und Rhododendron-Park","Bremen","","53.1091","8.8553"
"1007","Botanischer Garten der Stadt Chemnitz","Chemnitz","","50.8694","12.9140"
"1008","Botanischer Garten der Technischen Universitaet Darmstadt","Darmstadt","","49.8833","8.6833"
"1009","Botanischer Garten Rombergpark und Deutsches","Dortmund","","51.4787","7.4525"
"1010","Botanischer Garten der Technischen Universitaet Dresden","Dresden","","51.0524","13.7710"
"1011","Botanischer Garten der Stadt Duisburg  (Garden I)","Duisburg","","51.4916","6.7540"
"1012","Botanical Garden University of Duesseldorf","Dusseldorf","","51.2250","6.7756"
